time,status,count
01h 39,approved,5
01h 40,approved,5
01h 40,denied,1
01h 41,reversed,1
01h 41,approved,1
01h 42,reversed,1
01h 42,approved,2
01h 43,reversed,1
01h 43,approved,4
01h 43,refunded,1
01h 44,reversed,1
01h 44,approved,3
01h 45,approved,4
01h 46,approved,3
01h 46,reversed,1
01h 47,approved,5
01h 48,approved,2
01h 49,approved,1
01h 50,approved,3
01h 52,approved,4
01h 53,approved,1
01h 54,denied,1
01h 55,approved,1
01h 56,approved,2
01h 56,denied,1
01h 57,approved,4
01h 58,approved,1
02h 00,approved,3
02h 01,approved,2
02h 02,approved,1
02h 03,approved,4
02h 04,approved,3
02h 05,approved,3
02h 05,denied,1
02h 06,approved,2
02h 07,denied,1
02h 07,approved,2
02h 08,approved,1
02h 09,approved,2
02h 10,approved,1
02h 11,approved,2
02h 11,reversed,1
02h 12,approved,1
02h 14,denied,1
02h 15,approved,4
02h 15,denied,1
02h 17,approved,3
02h 18,approved,1
02h 19,approved,1
02h 20,approved,2
02h 21,approved,1
02h 22,approved,2
02h 23,approved,3
02h 24,approved,1
02h 25,approved,2
02h 26,approved,1
02h 27,approved,3
02h 28,approved,1
02h 29,approved,1
02h 30,approved,2
02h 31,approved,1
02h 32,approved,3
02h 33,approved,5
02h 35,approved,1
02h 36,approved,1
02h 37,denied,1
02h 37,approved,2
02h 38,denied,1
02h 39,approved,1
02h 40,approved,3
02h 41,approved,2
02h 42,approved,1
02h 43,approved,1
02h 44,approved,2
02h 45,approved,1
02h 46,approved,1
02h 47,approved,1
02h 48,approved,1
02h 49,approved,4
02h 50,approved,1
02h 51,approved,2
02h 52,approved,2
02h 53,approved,1
02h 54,denied,1
02h 56,approved,1
02h 58,denied,1
02h 58,approved,2
03h 01,denied,1
03h 02,approved,1
03h 03,approved,3
03h 03,denied,2
03h 06,approved,1
03h 07,approved,1
03h 07,denied,1
03h 08,approved,1
03h 09,denied,2
03h 10,denied,1
03h 14,approved,1
03h 15,approved,1
03h 17,denied,1
03h 17,approved,1
03h 18,denied,1
03h 20,approved,2
03h 24,denied,2
03h 26,denied,1
03h 28,approved,1
03h 29,approved,1
03h 30,approved,1
03h 33,denied,1
03h 33,approved,2
03h 34,denied,1
03h 34,approved,2
03h 34,reversed,1
03h 35,approved,6
03h 36,approved,1
03h 37,backend_reversed,1
03h 37,approved,1
03h 38,backend_reversed,1
03h 38,approved,2
03h 39,approved,2
03h 39,denied,1
03h 40,approved,2
03h 40,denied,1
03h 41,denied,1
03h 42,approved,2
03h 42,denied,2
03h 43,denied,3
03h 43,approved,1
03h 44,reversed,1
03h 44,approved,2
03h 45,approved,1
03h 46,denied,3
03h 47,backend_reversed,1
03h 47,approved,2
03h 48,approved,2
03h 49,approved,2
03h 50,denied,2
03h 50,reversed,1
03h 50,approved,3
03h 51,approved,2
03h 52,denied,1
03h 52,approved,1
03h 53,denied,1
03h 53,approved,1
03h 54,approved,1
03h 55,approved,2
03h 57,approved,1
03h 58,approved,2
04h 03,approved,1
04h 03,denied,1
04h 06,approved,2
04h 11,approved,2
04h 12,approved,1
04h 13,denied,1
04h 13,approved,1
04h 14,approved,1
04h 15,approved,2
04h 18,approved,2
04h 19,approved,2
04h 20,approved,2
04h 22,approved,1
04h 23,approved,1
04h 28,approved,2
04h 28,denied,1
04h 29,approved,1
04h 31,approved,1
04h 33,approved,1
04h 41,approved,3
04h 42,approved,2
04h 43,approved,1
04h 44,approved,1
04h 46,approved,1
04h 47,approved,2
04h 48,approved,1
04h 49,approved,1
04h 52,approved,1
04h 55,approved,1
04h 56,approved,1
04h 58,approved,2
05h 00,approved,1
05h 01,approved,3
05h 02,approved,2
05h 04,approved,1
05h 05,approved,1
05h 06,denied,1
05h 06,approved,2
05h 07,denied,1
05h 07,approved,1
05h 08,approved,1
05h 09,approved,1
05h 10,denied,1
05h 12,approved,1
05h 12,denied,1
05h 13,approved,2
05h 13,denied,1
05h 14,approved,1
05h 15,denied,1
05h 15,approved,2
05h 16,approved,2
05h 17,approved,3
05h 18,approved,2
05h 19,approved,1
05h 21,approved,4
05h 22,approved,5
05h 23,approved,2
05h 25,approved,3
05h 25,denied,1
05h 26,approved,3
05h 27,denied,2
05h 27,approved,2
05h 28,denied,1
05h 28,approved,4
05h 30,approved,5
05h 31,approved,3
05h 32,approved,3
05h 32,denied,2
05h 33,approved,5
05h 34,denied,3
05h 34,approved,4
05h 35,denied,1
05h 35,approved,5
05h 36,approved,5
05h 36,refunded,1
05h 36,denied,2
05h 37,denied,2
05h 37,approved,12
05h 38,denied,3
05h 38,approved,7
05h 39,approved,2
05h 40,approved,9
05h 40,denied,1
05h 41,approved,4
05h 42,denied,1
05h 42,approved,7
05h 43,approved,7
05h 44,approved,7
05h 44,reversed,1
05h 44,denied,1
05h 45,approved,4
05h 45,denied,2
05h 46,approved,7
05h 46,denied,1
05h 47,denied,3
05h 47,approved,6
05h 48,denied,2
05h 48,approved,5
05h 49,backend_reversed,1
05h 49,approved,10
05h 49,denied,2
05h 49,reversed,1
05h 50,approved,9
05h 51,approved,6
05h 51,reversed,1
05h 52,approved,9
05h 52,denied,2
05h 53,denied,2
05h 53,approved,8
05h 53,reversed,1
05h 54,approved,11
05h 55,approved,9
05h 55,backend_reversed,1
05h 55,denied,1
05h 55,reversed,1
05h 56,approved,5
05h 57,denied,1
05h 57,approved,12
05h 57,reversed,1
05h 58,denied,3
05h 58,approved,10
05h 59,approved,10
05h 59,denied,1
06h 00,approved,12
06h 01,denied,2
06h 01,backend_reversed,1
06h 01,approved,7
06h 02,approved,12
06h 02,denied,3
06h 03,denied,2
06h 03,refunded,1
06h 03,approved,11
06h 03,reversed,1
06h 04,denied,3
06h 04,approved,20
06h 05,approved,18
06h 05,denied,2
06h 06,approved,19
06h 06,denied,6
06h 07,approved,17
06h 07,denied,3
06h 08,approved,18
06h 08,denied,3
06h 09,approved,19
06h 10,approved,15
06h 10,denied,4
06h 11,approved,12
06h 12,approved,22
06h 12,denied,1
06h 13,approved,19
06h 14,approved,23
06h 14,denied,1
06h 15,approved,14
06h 15,denied,2
06h 16,denied,2
06h 16,approved,18
06h 17,approved,23
06h 18,approved,23
06h 19,approved,22
06h 20,denied,3
06h 20,approved,29
06h 20,reversed,1
06h 21,approved,25
06h 21,denied,3
06h 22,approved,33
06h 22,denied,2
06h 23,approved,17
06h 23,denied,4
06h 24,approved,33
06h 24,denied,2
06h 25,denied,1
06h 25,approved,28
06h 26,denied,2
06h 26,approved,32
06h 27,approved,19
06h 27,refunded,1
06h 27,reversed,1
06h 27,denied,4
06h 28,approved,25
06h 28,denied,3
06h 29,approved,37
06h 29,denied,1
06h 30,denied,3
06h 30,approved,29
06h 31,approved,23
06h 31,denied,5
06h 32,approved,42
06h 32,denied,4
06h 33,denied,6
06h 33,approved,28
06h 34,approved,38
06h 34,denied,5
06h 35,denied,5
06h 35,approved,44
06h 36,denied,5
06h 36,approved,34
06h 36,reversed,1
06h 37,denied,5
06h 37,approved,34
06h 38,denied,5
06h 38,approved,43
06h 39,approved,33
06h 39,denied,3
06h 40,denied,1
06h 40,approved,32
06h 41,approved,37
06h 41,denied,3
06h 42,backend_reversed,1
06h 42,approved,45
06h 42,reversed,1
06h 42,denied,2
06h 43,approved,36
06h 43,denied,8
06h 44,denied,3
06h 44,approved,43
06h 45,approved,34
06h 45,denied,1
06h 46,approved,34
06h 46,reversed,1
06h 46,denied,3
06h 47,approved,34
06h 47,denied,5
06h 47,backend_reversed,1
06h 48,approved,47
06h 48,denied,5
06h 48,reversed,1
06h 49,denied,4
06h 49,approved,54
06h 50,approved,49
06h 50,denied,4
06h 51,approved,55
06h 51,denied,1
06h 51,reversed,1
06h 52,approved,57
06h 52,denied,4
06h 53,denied,11
06h 53,approved,54
06h 53,refunded,1
06h 54,approved,57
06h 54,denied,8
06h 55,approved,55
06h 55,denied,7
06h 56,approved,46
06h 56,denied,1
06h 57,approved,41
06h 57,denied,6
06h 58,approved,60
06h 58,denied,5
06h 59,denied,2
06h 59,approved,42
07h 00,denied,4
07h 00,approved,53
07h 01,approved,62
07h 01,reversed,1
07h 01,denied,6
07h 02,approved,65
07h 02,denied,11
07h 03,approved,63
07h 03,denied,3
07h 03,refunded,1
07h 04,denied,7
07h 04,approved,67
07h 05,approved,67
07h 05,denied,7
07h 06,denied,5
07h 06,approved,64
07h 07,approved,67
07h 07,denied,7
07h 07,reversed,1
07h 08,approved,84
07h 08,reversed,1
07h 08,denied,6
07h 09,refunded,2
07h 09,approved,66
07h 09,denied,9
07h 10,denied,12
07h 10,approved,71
07h 11,approved,67
07h 11,denied,14
07h 12,approved,61
07h 12,denied,6
07h 12,reversed,1
07h 13,approved,69
07h 13,denied,11
07h 14,approved,74
07h 14,denied,9
07h 15,approved,81
07h 15,refunded,1
07h 15,denied,6
07h 16,approved,80
07h 16,reversed,1
07h 16,denied,6
07h 17,approved,79
07h 17,denied,5
07h 18,approved,77
07h 18,denied,3
07h 19,denied,9
07h 19,approved,79
07h 20,approved,84
07h 20,denied,12
07h 21,denied,9
07h 21,approved,70
07h 21,refunded,1
07h 22,denied,3
07h 22,approved,76
07h 23,approved,82
07h 23,denied,4
07h 24,denied,6
07h 24,approved,70
07h 25,approved,66
07h 25,denied,4
07h 26,approved,76
07h 26,denied,13
07h 27,approved,74
07h 27,denied,5
07h 28,denied,6
07h 28,approved,83
07h 29,approved,76
07h 29,denied,9
07h 30,reversed,1
07h 30,approved,77
07h 30,denied,14
07h 31,refunded,1
07h 31,approved,96
07h 31,denied,4
07h 32,denied,6
07h 32,approved,92
07h 33,denied,5
07h 33,approved,84
07h 33,refunded,2
07h 34,denied,9
07h 34,approved,87
07h 34,reversed,1
07h 35,approved,48
07h 35,denied,4
07h 36,denied,10
07h 36,approved,111
07h 37,approved,72
07h 37,denied,10
07h 38,denied,8
07h 38,refunded,1
07h 38,approved,86
07h 39,denied,6
07h 39,approved,89
07h 40,refunded,1
07h 40,approved,80
07h 40,denied,18
07h 40,reversed,2
07h 41,reversed,1
07h 41,denied,8
07h 41,approved,98
07h 42,denied,8
07h 42,refunded,1
07h 42,reversed,1
07h 42,approved,99
07h 43,backend_reversed,1
07h 43,approved,109
07h 43,denied,10
07h 44,refunded,1
07h 44,denied,7
07h 44,approved,97
07h 45,approved,116
07h 45,refunded,1
07h 45,denied,15
07h 46,refunded,1
07h 46,reversed,1
07h 46,approved,108
07h 46,denied,9
07h 47,approved,113
07h 47,denied,9
07h 48,approved,85
07h 48,refunded,1
07h 48,reversed,1
07h 48,denied,13
07h 49,denied,21
07h 49,approved,112
07h 50,approved,120
07h 50,denied,20
07h 51,denied,12
07h 51,refunded,1
07h 51,approved,104
07h 51,reversed,2
07h 52,reversed,1
07h 52,denied,11
07h 52,approved,100
07h 53,denied,15
07h 53,approved,127
07h 53,refunded,1
07h 54,denied,15
07h 54,reversed,1
07h 54,approved,108
07h 55,denied,8
07h 55,approved,101
07h 56,approved,131
07h 56,denied,13
07h 56,reversed,1
07h 57,approved,105
07h 57,denied,16
07h 57,reversed,2
07h 58,denied,16
07h 58,approved,119
07h 59,denied,19
07h 59,approved,119
07h 59,refunded,4
08h 00,denied,15
08h 00,approved,118
08h 01,approved,123
08h 01,denied,13
08h 01,backend_reversed,1
08h 02,backend_reversed,1
08h 02,denied,16
08h 02,approved,120
08h 03,approved,144
08h 03,reversed,1
08h 03,denied,23
08h 03,failed,1
08h 04,approved,140
08h 04,denied,11
08h 04,reversed,2
08h 04,refunded,1
08h 05,denied,12
08h 05,refunded,1
08h 05,reversed,1
08h 05,approved,141
08h 06,approved,152
08h 06,denied,16
08h 06,reversed,1
08h 07,reversed,1
08h 07,approved,138
08h 07,denied,10
08h 08,approved,152
08h 08,refunded,1
08h 08,denied,14
08h 09,approved,158
08h 09,denied,18
08h 10,approved,129
08h 10,denied,22
08h 10,refunded,2
08h 10,reversed,1
08h 11,denied,23
08h 11,approved,168
08h 12,denied,18
08h 12,approved,146
08h 12,reversed,2
08h 13,denied,15
08h 13,approved,152
08h 14,approved,170
08h 14,denied,15
08h 14,refunded,1
08h 15,approved,164
08h 15,refunded,1
08h 15,denied,14
08h 15,reversed,2
08h 16,denied,17
08h 16,approved,173
08h 17,approved,204
08h 17,reversed,1
08h 17,denied,19
08h 17,refunded,3
08h 17,backend_reversed,1
08h 18,denied,22
08h 18,reversed,3
08h 18,approved,189
08h 19,denied,12
08h 19,approved,169
08h 20,approved,180
08h 20,denied,16
08h 21,approved,168
08h 21,reversed,1
08h 21,denied,22
08h 21,refunded,1
08h 22,approved,181
08h 22,reversed,1
08h 22,denied,17
08h 23,approved,199
08h 23,refunded,1
08h 23,denied,18
08h 24,denied,14
08h 24,approved,184
08h 24,reversed,1
08h 25,reversed,1
08h 25,denied,21
08h 25,refunded,2
08h 25,approved,202
08h 26,approved,185
08h 26,refunded,2
08h 26,denied,22
08h 27,refunded,1
08h 27,approved,176
08h 27,denied,20
08h 28,denied,21
08h 28,approved,220
08h 29,refunded,2
08h 29,approved,219
08h 29,denied,28
08h 30,approved,199
08h 30,denied,16
08h 30,reversed,2
08h 31,approved,203
08h 31,denied,22
08h 32,approved,186
08h 32,denied,26
08h 32,reversed,1
08h 33,approved,214
08h 33,refunded,1
08h 33,denied,19
08h 34,approved,195
08h 34,backend_reversed,1
08h 34,denied,22
08h 34,refunded,1
08h 35,approved,196
08h 35,backend_reversed,1
08h 35,denied,13
08h 36,approved,206
08h 36,reversed,1
08h 36,refunded,2
08h 36,denied,21
08h 37,approved,196
08h 37,denied,25
08h 37,reversed,1
08h 38,denied,29
08h 38,refunded,1
08h 38,approved,205
08h 39,approved,224
08h 39,denied,24
08h 39,reversed,1
08h 40,approved,208
08h 40,denied,22
08h 40,reversed,2
08h 40,refunded,3
08h 41,denied,16
08h 41,approved,216
08h 41,refunded,2
08h 42,backend_reversed,1
08h 42,approved,218
08h 42,refunded,3
08h 42,denied,26
08h 43,approved,205
08h 43,denied,29
08h 44,denied,24
08h 44,approved,217
08h 44,reversed,1
08h 45,reversed,2
08h 45,approved,216
08h 45,denied,27
08h 46,denied,35
08h 46,approved,213
08h 46,refunded,4
08h 47,denied,33
08h 47,refunded,2
08h 47,approved,230
08h 48,approved,235
08h 48,denied,35
08h 49,reversed,3
08h 49,refunded,1
08h 49,approved,245
08h 49,denied,30
08h 50,approved,221
08h 50,reversed,3
08h 50,denied,21
08h 50,refunded,1
08h 51,refunded,1
08h 51,approved,270
08h 51,denied,27
08h 51,backend_reversed,1
08h 51,reversed,2
08h 52,approved,239
08h 52,denied,30
08h 52,refunded,1
08h 53,reversed,3
08h 53,denied,14
08h 53,approved,244
08h 53,refunded,3
08h 54,reversed,1
08h 54,denied,27
08h 54,backend_reversed,1
08h 54,approved,214
08h 55,denied,29
08h 55,refunded,1
08h 55,approved,240
08h 56,approved,247
08h 56,denied,31
08h 57,approved,266
08h 57,reversed,2
08h 57,denied,25
08h 58,approved,231
08h 58,denied,23
08h 58,refunded,1
08h 59,denied,36
08h 59,approved,256
08h 59,reversed,1
08h 59,refunded,1
09h 00,denied,28
09h 00,refunded,2
09h 00,approved,231
09h 01,refunded,1
09h 01,denied,27
09h 01,approved,246
09h 02,denied,28
09h 02,approved,249
09h 02,reversed,1
09h 03,denied,26
09h 03,approved,288
09h 03,refunded,3
09h 03,reversed,1
09h 04,reversed,1
09h 04,approved,260
09h 04,denied,34
09h 04,refunded,1
09h 05,approved,268
09h 05,denied,30
09h 05,refunded,1
09h 05,processing,1
09h 06,refunded,3
09h 06,denied,30
09h 06,backend_reversed,1
09h 06,reversed,2
09h 06,approved,292
09h 07,backend_reversed,1
09h 07,denied,29
09h 07,refunded,2
09h 07,approved,297
09h 07,reversed,1
09h 08,approved,272
09h 08,denied,22
09h 08,backend_reversed,1
09h 08,reversed,2
09h 09,approved,256
09h 09,reversed,3
09h 09,refunded,1
09h 09,denied,31
09h 10,approved,305
09h 10,refunded,2
09h 10,denied,22
09h 10,reversed,1
09h 11,approved,279
09h 11,refunded,2
09h 11,denied,39
09h 12,refunded,1
09h 12,approved,320
09h 12,denied,29
09h 12,reversed,3
09h 13,approved,300
09h 13,reversed,2
09h 13,denied,33
09h 14,denied,22
09h 14,refunded,2
09h 14,approved,298
09h 15,denied,36
09h 15,refunded,1
09h 15,approved,269
09h 16,denied,28
09h 16,reversed,2
09h 16,approved,314
09h 17,denied,37
09h 17,approved,262
09h 17,reversed,1
09h 18,denied,40
09h 18,approved,317
09h 19,refunded,1
09h 19,approved,311
09h 19,denied,36
09h 19,reversed,3
09h 20,reversed,2
09h 20,approved,308
09h 20,refunded,1
09h 20,denied,33
09h 21,approved,283
09h 21,denied,32
09h 21,reversed,3
09h 21,refunded,3
09h 22,refunded,2
09h 22,reversed,2
09h 22,approved,319
09h 22,denied,30
09h 23,reversed,1
09h 23,denied,21
09h 23,approved,282
09h 24,denied,27
09h 24,approved,292
09h 25,approved,306
09h 25,denied,34
09h 25,reversed,2
09h 26,reversed,2
09h 26,refunded,1
09h 26,denied,31
09h 26,approved,314
09h 27,approved,331
09h 27,refunded,2
09h 27,denied,28
09h 28,approved,334
09h 28,reversed,2
09h 28,denied,42
09h 28,refunded,4
09h 29,denied,36
09h 29,approved,300
09h 29,reversed,2
09h 30,refunded,1
09h 30,reversed,4
09h 30,approved,316
09h 30,denied,45
09h 30,backend_reversed,1
09h 31,approved,299
09h 31,reversed,2
09h 31,refunded,3
09h 31,denied,36
09h 32,approved,241
09h 32,denied,19
09h 32,reversed,2
09h 33,denied,23
09h 33,approved,105
09h 33,reversed,3
09h 34,approved,285
09h 34,reversed,13
09h 34,refunded,1
09h 34,denied,40
09h 35,refunded,2
09h 35,approved,466
09h 35,denied,34
09h 35,reversed,5
09h 36,approved,358
09h 36,denied,38
09h 36,backend_reversed,2
09h 36,reversed,1
09h 36,refunded,2
09h 37,denied,26
09h 37,approved,333
09h 37,refunded,2
09h 37,reversed,2
09h 38,denied,34
09h 38,refunded,6
09h 38,approved,328
09h 38,reversed,2
09h 39,approved,343
09h 39,reversed,3
09h 39,denied,37
09h 39,refunded,3
09h 40,approved,313
09h 40,reversed,4
09h 40,denied,27
09h 40,refunded,1
09h 41,reversed,2
09h 41,refunded,1
09h 41,approved,306
09h 41,denied,31
09h 42,approved,359
09h 42,denied,41
09h 42,reversed,1
09h 43,approved,306
09h 43,reversed,2
09h 43,refunded,1
09h 43,denied,26
09h 44,approved,360
09h 44,denied,24
09h 44,refunded,2
09h 44,reversed,3
09h 45,refunded,3
09h 45,reversed,2
09h 45,approved,331
09h 45,denied,38
09h 46,reversed,2
09h 46,denied,35
09h 46,approved,352
09h 46,refunded,3
09h 47,refunded,4
09h 47,denied,41
09h 47,reversed,2
09h 47,approved,331
09h 48,denied,43
09h 48,refunded,1
09h 48,reversed,2
09h 48,backend_reversed,1
09h 48,approved,313
09h 49,backend_reversed,1
09h 49,approved,343
09h 49,refunded,1
09h 49,denied,34
09h 49,reversed,4
09h 50,refunded,3
09h 50,approved,306
09h 50,denied,41
09h 50,reversed,1
09h 51,denied,27
09h 51,refunded,2
09h 51,reversed,1
09h 51,approved,332
09h 52,approved,352
09h 52,refunded,1
09h 52,reversed,1
09h 52,denied,30
09h 53,approved,364
09h 53,denied,31
09h 53,reversed,1
09h 53,refunded,2
09h 54,denied,31
09h 54,approved,356
09h 54,reversed,3
09h 54,refunded,2
09h 55,approved,373
09h 55,refunded,3
09h 55,denied,47
09h 56,reversed,1
09h 56,denied,33
09h 56,refunded,2
09h 56,approved,383
09h 57,approved,345
09h 57,denied,41
09h 57,refunded,3
09h 58,denied,37
09h 58,reversed,4
09h 58,approved,344
09h 59,approved,339
09h 59,denied,38
09h 59,reversed,2
09h 59,backend_reversed,1
10h 00,reversed,1
10h 00,denied,29
10h 00,approved,337
10h 00,refunded,2
10h 01,approved,348
10h 01,refunded,3
10h 01,reversed,1
10h 01,denied,27
10h 02,denied,34
10h 02,approved,369
10h 02,reversed,2
10h 02,refunded,2
10h 03,approved,361
10h 03,reversed,4
10h 03,denied,42
10h 04,denied,32
10h 04,reversed,2
10h 04,approved,376
10h 04,refunded,1
10h 05,approved,343
10h 05,refunded,1
10h 05,denied,35
10h 05,reversed,3
10h 06,approved,345
10h 06,reversed,3
10h 06,refunded,2
10h 06,denied,27
10h 07,denied,24
10h 07,backend_reversed,1
10h 07,approved,343
10h 07,reversed,1
10h 08,refunded,1
10h 08,reversed,1
10h 08,approved,335
10h 08,denied,40
10h 09,approved,354
10h 09,refunded,1
10h 09,denied,36
10h 10,reversed,2
10h 10,approved,326
10h 10,denied,40
10h 11,reversed,3
10h 11,approved,373
10h 11,denied,41
10h 12,denied,44
10h 12,reversed,2
10h 12,approved,360
10h 12,refunded,2
10h 13,approved,357
10h 13,denied,41
10h 13,refunded,2
10h 13,reversed,3
10h 14,denied,35
10h 14,reversed,4
10h 14,refunded,1
10h 14,approved,342
10h 15,reversed,1
10h 15,approved,338
10h 15,refunded,1
10h 15,denied,35
10h 16,approved,340
10h 16,refunded,1
10h 16,denied,26
10h 16,backend_reversed,3
10h 16,reversed,3
10h 17,approved,391
10h 17,reversed,1
10h 17,denied,33
10h 17,refunded,1
10h 17,backend_reversed,1
10h 18,reversed,1
10h 18,denied,48
10h 18,approved,367
10h 19,approved,342
10h 19,backend_reversed,2
10h 19,refunded,1
10h 19,denied,37
10h 19,reversed,1
10h 20,denied,29
10h 20,reversed,2
10h 20,approved,345
10h 20,refunded,1
10h 21,approved,378
10h 21,reversed,5
10h 21,refunded,1
10h 21,denied,30
10h 22,denied,39
10h 22,approved,342
10h 22,reversed,4
10h 23,approved,359
10h 23,refunded,1
10h 23,reversed,2
10h 23,denied,34
10h 24,reversed,2
10h 24,approved,365
10h 24,denied,44
10h 25,refunded,1
10h 25,denied,40
10h 25,approved,368
10h 26,denied,36
10h 26,approved,331
10h 27,refunded,1
10h 27,denied,41
10h 27,approved,365
10h 28,approved,382
10h 28,reversed,3
10h 28,denied,33
10h 29,approved,367
10h 29,reversed,1
10h 29,refunded,2
10h 29,denied,52
10h 30,denied,37
10h 30,approved,368
10h 30,reversed,1
10h 31,refunded,1
10h 31,denied,31
10h 31,approved,365
10h 32,reversed,1
10h 32,denied,37
10h 32,approved,348
10h 32,refunded,3
10h 33,denied,35
10h 33,approved,364
10h 33,refunded,2
10h 33,reversed,3
10h 34,denied,55
10h 34,reversed,5
10h 34,refunded,2
10h 34,approved,390
10h 35,denied,35
10h 35,approved,354
10h 35,refunded,1
10h 36,denied,39
10h 36,reversed,3
10h 36,approved,364
10h 37,approved,374
10h 37,denied,37
10h 37,refunded,1
10h 38,denied,33
10h 38,reversed,1
10h 38,approved,362
10h 38,refunded,1
10h 39,approved,358
10h 39,denied,43
10h 39,refunded,2
10h 39,reversed,4
10h 40,backend_reversed,1
10h 40,approved,349
10h 40,denied,43
10h 40,reversed,1
10h 40,refunded,1
10h 41,reversed,2
10h 41,approved,381
10h 41,refunded,1
10h 41,denied,38
10h 42,approved,367
10h 42,denied,49
10h 43,reversed,2
10h 43,approved,370
10h 43,denied,53
10h 43,refunded,1
10h 44,denied,42
10h 44,approved,381
10h 45,reversed,1
10h 45,approved,366
10h 45,denied,27
10h 46,denied,43
10h 46,reversed,5
10h 46,refunded,1
10h 46,approved,362
10h 47,denied,44
10h 47,backend_reversed,1
10h 47,approved,349
10h 47,reversed,3
10h 47,refunded,1
10h 48,denied,38
10h 48,refunded,1
10h 48,approved,405
10h 48,reversed,3
10h 49,denied,39
10h 49,reversed,2
10h 49,approved,352
10h 49,refunded,1
10h 49,backend_reversed,1
10h 50,reversed,2
10h 50,backend_reversed,1
10h 50,failed,1
10h 50,approved,367
10h 50,denied,41
10h 51,denied,37
10h 51,reversed,7
10h 51,approved,323
10h 51,backend_reversed,32
10h 51,refunded,1
10h 52,reversed,8
10h 52,denied,34
10h 52,approved,338
10h 52,backend_reversed,37
10h 52,refunded,1
10h 53,backend_reversed,55
10h 53,denied,35
10h 53,reversed,6
10h 53,refunded,1
10h 53,approved,347
10h 54,approved,332
10h 54,reversed,10
10h 54,denied,43
10h 54,refunded,1
10h 54,backend_reversed,44
10h 55,backend_reversed,40
10h 55,denied,34
10h 55,reversed,11
10h 55,approved,344
10h 56,approved,418
10h 56,backend_reversed,1
10h 56,denied,47
10h 56,reversed,2
10h 57,denied,40
10h 57,approved,369
10h 57,reversed,1
10h 58,reversed,2
10h 58,backend_reversed,1
10h 58,approved,349
10h 58,denied,41
10h 59,approved,379
10h 59,denied,25
11h 00,approved,371
11h 00,refunded,3
11h 00,denied,42
11h 01,denied,39
11h 01,reversed,2
11h 01,approved,389
11h 02,approved,391
11h 02,denied,34
11h 02,reversed,4
11h 03,approved,354
11h 03,denied,44
11h 04,reversed,3
11h 04,approved,394
11h 04,backend_reversed,1
11h 04,refunded,2
11h 04,denied,37
11h 05,reversed,4
11h 05,approved,378
11h 05,refunded,2
11h 05,denied,34
11h 06,denied,33
11h 06,approved,378
11h 06,reversed,1
11h 07,approved,403
11h 07,refunded,1
11h 07,denied,35
11h 07,reversed,6
11h 08,refunded,2
11h 08,approved,403
11h 08,denied,46
11h 08,reversed,1
11h 09,denied,40
11h 09,approved,410
11h 09,refunded,2
11h 09,reversed,3
11h 10,approved,401
11h 10,backend_reversed,2
